R120:26945.520723,0.054968,26945.747772,26945.802745
R121:26945.623047,0.030315,26945.802759,26945.833078
R122:26945.682847,0.016798,26945.833091,26945.849897
R123:26945.796050,0.003477,26945.849914,26945.853395
R124:26945.884456,0.099223,26945.884484,26945.983719
R125:26945.933052,0.084593,26945.983746,26946.068369
R126:26946.034940,0.017009,26946.068385,26946.085398
R127:26946.073707,0.082217,26946.085412,26946.167633
R128:26946.159106,0.033171,26946.167646,26946.200821
R129:26946.278389,0.018826,26946.278416,26946.297247
R130:26946.401015,0.096201,26946.401040,26946.497249
R131:26946.631684,0.024785,26946.631714,26946.656503
R132:26946.727958,0.007644,26946.727990,26946.735643
R133:26946.797089,0.174891,26946.797115,26946.972018
R134:26946.824534,0.008202,26946.972035,26946.980242
R135:26946.929880,0.037399,26946.980256,26947.017661
R136:26946.940613,0.074955,26947.017674,26947.092633
R137:26947.018770,0.028398,26947.092647,26947.121048
R138:26947.118620,0.028351,26947.121062,26947.149414
R139:26947.254544,0.017534,26947.254570,26947.272111
R140:26947.290915,0.000299,26947.290939,26947.291242
R141:26947.668944,0.033557,26947.668975,26947.702539
R142:26947.828666,0.047799,26947.828695,26947.876503
R143:26947.847637,0.209371,26947.876519,26948.085895
R144:26948.137224,0.100075,26948.137252,26948.237334
R145:26948.268842,0.096473,26948.268866,26948.365347
R146:26948.280595,0.124036,26948.365362,26948.489407
R147:26948.324624,0.206683,26948.489422,26948.696110
R148:26948.585142,0.018966,26948.696124,26948.715095
R149:26948.765146,0.066181,26948.765175,26948.831364
R150:26948.908638,0.196097,26948.908674,26949.104781
R151:26948.940732,0.172609,26949.104796,26949.277410
R152:26949.159284,0.071541,26949.277427,26949.348975
R153:26949.221971,0.026674,26949.348989,26949.375667
R154:26949.238128,0.056505,26949.375681,26949.432190
R155:26949.419895,0.157508,26949.432203,26949.589720
R156:26949.476544,0.028665,26949.589910,26949.618582
R157:26949.538842,0.096048,26949.618598,26949.714651
R158:26949.556942,0.012477,26949.714665,26949.727146
R159:26949.675160,0.056509,26949.727160,26949.783673
R160:26949.759185,0.107356,26949.783687,26949.891051
R161:26949.924739,0.020915,26949.924766,26949.945688
R162:26949.942596,0.010772,26949.945703,26949.956478
R163:26950.005346,0.037248,26950.005372,26950.042630
R164:26950.018885,0.223892,26950.042644,26950.266540
R165:26950.054594,0.081093,26950.266554,26950.347653
R166:26950.271983,0.142038,26950.347666,26950.489709
R167:26950.436805,0.033994,26950.489722,26950.523720
R168:26950.499116,0.089615,26950.523733,26950.613352
R169:26950.544705,0.024969,26950.613365,26950.638341
R170:26950.630056,0.006276,26950.638354,26950.644631
R171:26950.644968,0.086823,26950.644993,26950.731826
R172:26950.655355,0.028338,26950.731851,26950.760194
R173:26950.696449,0.007964,26950.760209,26950.768175
R174:26950.733057,0.227135,26950.768189,26950.995339
R175:26950.783742,0.025709,26950.995373,26951.021091
R176:26950.863393,0.119546,26951.021107,26951.140663
R177:26950.961149,0.014259,26951.140695,26951.154957
R178:26951.021919,0.081884,26951.154972,26951.236860
R179:26951.217009,0.019416,26951.236875,26951.256292
R180:26951.283311,0.046289,26951.283342,26951.329638
R181:26951.357464,0.041793,26951.357495,26951.399293
R182:26951.518540,0.032879,26951.518577,26951.551464
R183:26951.544032,0.084827,26951.551483,26951.636316
R184:26951.662859,0.034405,26951.662885,26951.697298
R185:26952.043729,0.012189,26952.043765,26952.055963
R186:26952.250884,0.000452,26952.250911,26952.251370
R187:26952.298984,0.124078,26952.299014,26952.423098
R188:26952.438015,0.010149,26952.438039,26952.448193
R189:26952.469635,0.106380,26952.469663,26952.576051
R190:26952.652055,0.049684,26952.652083,26952.701777
R191:26952.656654,0.102558,26952.701792,26952.804355
R192:26953.047809,0.053521,26953.047837,26953.101366
